timestamp,value1
1339261200,3.4020448525e+07
1339261500,1.8406509015e+07
1339261800,1.3551101702e+07
1339262100,1.0942669565e+07
1339262400,8.9584420948e+06
1339262700,1.0100165465e+07
1339263000,2.1549379874e+07
1339263300,3.0421856094e+07
1339263600,2.3394808831e+07
1339263900,7.8574193516e+06
1339264200,5.5150012229e+06
1339264500,7.3971364064e+06
1339264800,4.5114329445e+06
1339265100,1.0900310348e+06
1339265400,4.7764890616e+06
1339265700,6.7174021960e+06
1339266000,1.1950794616e+07
1339266300,1.7155892673e+07
1339266600,1.1824689375e+07
1339266900,1.2864041432e+07
1339267200,2.0161527641e+07
1339267500,2.4434391174e+07
1339267800,9.5506885883e+06
1339268100,2.9978134032e+06
1339268400,6.0682155026e+06
1339268700,1.0095107419e+07
1339269000,1.0694283917e+07
1339269300,8.7802776443e+06
1339269600,4.9449064496e+06
1339269900,7.5943834897e+05
1339270200,3.3042847534e+06
1339270500,1.5304266236e+07
1339270800,1.8843216962e+07
1339271100,6.6386580719e+06
1339271400,1.1202729658e+07
1339271700,1.4372780345e+07
1339272000,9.4109532080e+06
1339272300,3.9483476340e+06
1339272600,8.9241232732e+06
1339272900,9.5052579236e+06
1339273200,5.2269111040e+06
1339273500,4.0720031804e+06
1339273800,5.7489779720e+06
1339274100,6.4156604387e+06
1339274400,3.8954565079e+06
1339274700,3.8362221423e+06
1339275000,4.0532033353e+06
1339275300,6.7080360131e+06
1339275600,2.0712916682e+07
1339275900,3.0266519963e+07
1339276200,2.2878473099e+07
1339276500,1.7558551633e+07
1339276800,2.4201603138e+06
1339277100,3.6195132742e+06
1339277400,5.9096626658e+06
1339277700,5.3449486683e+06
1339278000,1.3007586292e+07
1339278300,1.2934819852e+07
1339278600,2.8545556819e+06
1339278900,6.0651259000e+05
1339279200,2.0627993394e+05
1339279500,4.2049136411e+06
1339279800,1.0662470967e+07
1339280100,7.1542166973e+06
1339280400,2.4718006008e+06
1339280700,5.5219586512e+06
1339281000,4.5153071734e+06
1339281300,4.1007969719e+06
1339281600,3.9806634433e+06
1339281900,4.0557790322e+06
1339282200,4.2690069303e+06
1339282500,4.1546425323e+06
1339282800,4.3006998212e+06
1339283100,4.8854929345e+06
1339283400,5.4403021900e+06
1339283700,4.4622076871e+06
1339284000,7.4908240953e+06
1339284300,1.4843424937e+07
1339284600,1.4289312277e+07
1339284900,4.0038702826e+06
1339285200,2.4786867126e+06
1339285500,6.3488406811e+06
1339285800,1.4421274695e+07
1339286100,1.8143083979e+07
1339286400,4.3772044571e+06
1339286700,1.2590829739e+07
1339287000,2.8597316139e+07
1339287300,2.0463854028e+07
1339287600,1.2409862136e+07
1339287900,7.1744050044e+06
1339288200,1.0713913137e+07
1339288500,1.0608437819e+07
1339288800,8.4618733780e+06
1339289100,1.8500967004e+07
1339289400,2.1155715748e+07
1339289700,1.7401012645e+07
1339290000,2.0347197179e+07
1339290300,4.0046342821e+06
1339290600,2.5962572600e+06
1339290900,3.2108034751e+07
1339291200,9.1124584013e+07
1339291500,6.9564895696e+07
1339291800,7.5614405068e+06
1339292100,7.0460979435e+06
1339292400,5.1853799941e+06
1339292700,5.5616977235e+06
1339293000,5.6018234369e+06
1339293300,5.5432542158e+06
1339293600,5.6649969312e+06
1339293900,6.6492295762e+06
1339294200,1.5856795949e+07
1339294500,2.1099572105e+07
1339294800,3.5177237981e+06
1339295100,5.8085258689e+05
1339295400,3.9363572833e+06
1339295700,1.0048815809e+07
1339296000,1.0588348545e+07
1339296300,1.3088707499e+07
1339296600,1.4077256827e+07
1339296900,1.4189796809e+07
1339297200,1.6303687960e+07
1339297500,1.3369180611e+07
1339297800,6.5904407999e+06
1339298100,6.4737646100e+06
1339298400,6.2915338972e+06
1339298700,3.5412503953e+06
1339299000,2.9048776645e+05
1339299300,2.4217918002e+05
1339299600,5.3174600235e+06
1339299900,9.7233011750e+06
1339300200,4.2304402744e+06
1339300500,9.3065226943e+06
1339300800,7.7882155573e+06
1339301100,8.5284954056e+06
1339301400,1.9773513711e+07
1339301700,1.3915486874e+07
1339302000,9.5176222383e+06
1339302300,1.7748325622e+07
1339302600,1.7649690116e+07
1339302900,1.6720976482e+07
1339303200,8.2255725941e+06
1339303500,2.2628841308e+06
1339303800,5.1474472868e+06
1339304100,9.8683092792e+06
1339304400,2.4005837564e+07
1339304700,3.9648719912e+07
1339305000,2.1685737752e+07
1339305300,5.2946004559e+06
1339305600,7.1051782345e+06
1339305900,1.1130041491e+07
1339306200,7.2029123922e+06
1339306500,9.1873968827e+06
1339306800,1.2325743048e+06
